"Type for 4CE Analysis","Med Class","Class Name","Med Name","ATC Code","Parent RxNorm","ACT RxNorm List","ACT Path","ACT NDC List"
"Severe Illness Medication","SIANES","ANESTHETICS, GENERAL","Ketamine","N01AX03",6130,"RxNorm:6130,206967,206970,206972,238082,238083,238084,372528,631205,1087926,1301259,1486837,1605773","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\KPreparations\6130\","NDC:00015834027,00015834096,00015834110,00015834197,00015834305,00015834397,00024109001,00024109101,00071458112,00071458113,00071458115,00071458210,00071458508,00074205105,00074205310,00143950801,00143950810,00143950901,00143950910,00409205105,00409205310,00856201301,06208600110,06208601010,06208610810,10130047510,10139005510,10139005512,10139005610,10139005612,11695070001,11695070101,11695070201,11695683501,13985058410,13985070210,15082030170,17033010010,24200042444,24200042445,24200042449,24200042450,24200042652,24200042744,26637041101,26637073151,42023011310,42023011410,42023011510,42023013710,42023013810,42023013910,50989016106,50989099606,52584003710,52584003810,52584004005,52584010800,54771201301,54868439900,54868509300,55390047510,59399011410,59399011412,60793058110,61553032033,61553032070,61553033028,61553033165,61553033172,61570058102,61570058110,61570058201,61570058210,61570058505,61570058510,61786034857,62086000110,62086001008,62086010810,63286000100,63286010800,63286018102,64029458101,64029458102,64029458201,64029458202,64029458501,64029458502,66647302225,66647302242,67454018120,67457000100,67457000110,67457003410,67457010800,67457010810,67457018100,67457018110,67457018120"
"Severe Illness Medication","SIANES","ANESTHETICS, GENERAL","Propofol","N01AX10",8782,"RxNorm:8782,207793,312674,377483,884675,1188478,1808216,1808217,1808219,1808222,1808223,1808224,1808225,1808234,1808235,1862110,2050125","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\PPreparations\8782\","NDC:00038029011,00038029020,00038029050,00038029061,00038029062,00038029065,00044494401,00044494402,00044520603,00074494401,00074520603,00310029011,00310029020,00310029050,00310029061,00310029062,00310029065,00310030001,00310030002,00310030005,00310030009,00310030011,00310030020,00310030022,00310030050,00310030054,00310030061,00310030062,00310030064,00310030065,00310030066,00409469924,00409469930,00409469933,00409469940,00409469950,00409469953,00409469954,00409469961,00409469962,00409469963,00409520601,00409520602,00591213651,00591213655,00591213657,00591213668,00591213680,00591213695,00703001301,00703001302,00703001303,00703001304,00703285506,00703285601,00703285604,00703285801,00703285809,00703285901,00703285903,10019001301,10019001302,10019001303,10019001304,10019001306,10019001311,10019001320,10019001352,10019021301,10019021302,10019021303,10130010410,10130010423,10130010450,10130010499,11695280001,13985074020,25021060820,25021060850,25021060851,52584005457,52584026950,52584069933,54569407300,54569434000,54569482100,54569586200,54771494401,54771494402,54771520601,54868462900,55154285405,55154691105,55390010420,55390010450,55390010499,59632029001,59632029002,59632029005,60732030001,60732030002,60732030003,60732030005,60732030009,63323026910,63323026920,63323026922,63323026927,63323026929,63323026937,63323026950,63323026957,63323026959,63323026965,63323026967,63323026969,63323026970,63323026977,63323026978,63323026994,63323027020,63323027025,63323027026,63323027027,63323027050,63323027057,63323027065,63323027067,63323029730,63323029731,63323029750,63323029751,63323029753,63323029766,66758002501,66758002502,66758002503,66758002504"
"Severe Illness Medication","SIANES","Benzodiazepine derivatives","Midazolam","N05CD08",6960,"RxNorm:6960,106517,199775,311700,311701,311702,372922,379133,404091,404092,422410,446503,998210,998211,1313988,1551393,1551395,1666776,1666777,1666797,1666798,1666800,1666814,1666821,1666823,2057964","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\MPreparations\6960\","NDC:00004016851,00004194601,00004194701,00004194709,00004197301,00004197401,00004197501,00004199806,00004199901,00004200006,00054356699,00054356999,00074229502,00074229505,00074229532,00074229535,00074229536,00074229539,00074229552,00074229601,00074229602,00074229630,00074229631,00074229632,00074229636,00074229651,00074230502,00074230505,00074230549,00074230550,00074230662,00074230760,00074230762,00074230801,00074230802,00074230849,00074230850,00074258702,00074258703,00074258705,00074258751,00074258752,00074258753,00074259601,00074259602,00074259603,00074259605,00074259649,00074259651,00074259652,00074259653,00247029502,00247029505,00247234402,00247234420,00364291331,00364291333,00364291347,00364291431,00364291533,00364291645,00364291647,00364291747,00364291831,00364291933,00364292889,00409230502,00409230505,00409230517,00409230521,00409230549,00409230550,00409230561,00409230562,00409230603,00409230611,00409230612,00409230622,00409230662,00409230703,00409230721,00409230760,00409230762,00409230801,00409230802,00409230849,00409230850,00409258705,00409258753,00409259603,00409259605,00409259652,00409259653,00574015004,00574015025,00641001802,00641001902,00641002701,00641002702,00641605601,00641605610,00641605701,00641605710,00641605725,00641605901,00641605910,00641606001,00641606010,00641606101,00641606110,00641606125,00641606301,00641606310,00641606325,00641619001,00641619010,00641620901,00641620925,00641621001,00641621010,00641621101,00641621110,10019002701,10019002702,10019002703,10019002704,10019002705,10019002706,10019002707,10019002708,10019002709,10019002710,10019002729,10019002736,10019002737,10019002739,10019002759,10019002764,10019002801,10019002802,10019002803,10019002804,10019002805,10019002810,10019002836,10019002837,10019002839,10019002859,10019012708,10019012732,10130012510,10130012705,10130012710,10130013702,10130013705,10130013801,10130013802,10130014102,11704065001,11704065010,15082040105,15082040110,15082040463,17478052302,17478052305,17478052310,17478052325,17478052355,17478052401,17478052402,17478052405,17478052410,17478052415,17856014601,17856020501,17856020502,17856020505,17856356601,17856356602,17856356603,23155060031,23155060041,23155060131,23155060132,23155060141,23155060142,23490593201,23490593301,23490593302,24200056203,24200056204,24200056244,24200056247,24200056266,24200056280,24200056303,24200056304,24200056306,24200056310,24200056311,24200056361,24200056546,24200056749,24200056937,24200056944,24200056945,25021065502,25021065505,25021065601,25021065602,25021066010,25021066105,25021066110,35356048210,46672064004,47781058846,47781058868,47781058917,47781058920,47781058922,47781058991,50090068300,50090068301,50090073800,50090073801,50090331200,50383086204,51662123601,51662123701,51662132401,52533000101,52533000102,52533000105,52533000115,52533000116,52533000131,52533000160,52533000171,52533000172,52533000175,52533000177,52584005501,52584005601,52584005901,52584030801,52584030802,52584059603,52959091501,54087032007,54087032032,54087032053,54087032107,54087032132,54087032142,54087032153,54087032173,54569511600,54569511601,54569525500,54569525501,54868458000,54868571100,54868609200,54868609201,55045274108,55045285701,55045288702,55154014305,55154014405,55154014505,55154014605,55154035205,55154035305,55154035405,55154035905,55154238405,55154238705,55154239405,55154285005,55154285305,55154286705,55154287405,55154287805,55154287908,55154288308,55154288905,55154310905,55154311205,55154473405,55154474305,55154699708,55154783105,55154939308,55154956205,55370002839,55370021702,55370021705,55370021710,55370021801,55370021802,55370021805,55370021810,55390012510,55390012605,55390012610,55390013702,55390013705,55390013801,55390013802,55390014102,55648076201,55648076202,55648076203,55648076204,55648076205,55648076206,55648076207,55648076208,55648076209,55648076301,55648076302,55648076303,55648076304,55648076305,55648076306,55648076307,55648076308,55648076309,55648076310,55648076311,55648076312,55648076401,55648076402,55648076403,55648076404,55648076405,55648076406,55648076501,55648076502,55648076503,55648076504,55648076505,55648076506,57664063340,57664063343,57664063441,57664063442,57664063444,57664063445,59911591102,59911591202,59911591302,59911591402,59911591502,59911591602,61553019648,61553019652,61553019879,61553019941,61553020241,61553027048,61553027052,61553029041,61553029202,61553030570,61553030972,61553035628,61553035679,61553049639,61703032007,61703032032,61703032053,61703032107,61703032132,61703032142,61703032153,61703032173,63304020418,63304020518,63323041102,63323041105,63323041110,63323041112,63323041113,63323041115,63323041118,63323041125,63323041200,63323041201,63323041202,63323041203,63323041205,63323041206,63323041210,63323041213,63323041218,63323041225,63775071101,63775071102,63775071103,63775071201,63775071202,63775071203,63775071204,64679076201,64679076202,64679076203,64679076204,64679076205,64679076206,64679076207,64679076208,64679076209,64679076301,64679076302,64679076303,64679076304,64679076305,64679076306,64679076307,64679076308,64679076309,64679076310,64679076311,64679076312,64679076401,64679076402,64679076403,64679076404,64679076405,64679076406,64679076501,64679076502,64679076503,64679076504,64679076505,64679076506,65293041102,65293041125,65293041210,65293041302,65293041310,65293041405,65293041410,65293041510,65293041605,65293041625,65293041701,65293041725,66647403294,66647403694,66647413511,66647413521,66647413533,66758001801,66758001802,66758001901,66758001902,66860013002,66860013102,66860013202,66860013302,66860014002,66860014102,66860014202,66860014302,66860014402,66860014502,66860014602,68083010601,68083010801,68083010802,68094071659,68094071662,68094076259,68094076262,68094076459,68094076462,68094076662,68258897301,68258898101,68258899101,70860060002,70860060105,70860060110,76045000120,76045000210,76045000220,76045000320"
"Severe Illness Medication","SIANES","MUSCLE RELAXANTS","Cisatracurium","M03AC11",319864,"RxNorm:199211,199212,210676,210677,319864,377135,1730193,1730194,1730196","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\CPreparations\319864\","NDC:00074437805,00074437824,00074438001,00074438010,00074438079,00074438220,00074438291,00081054047,00081054050,00081054301,00081054600,00173054047,00173054050,00173054301,00173054600,00409437805,00409438010,00409438220,00703203301,00703203303,00703204501,00703204503,00703205601,00703205603,00740438010,00740438220,00781315075,00781315095,00781315270,00781315295,00781315380,00781315395,00781903775,00781903795,00781903870,00781903895,00781903980,00781903995,24200076550,24200076651,25021066805,25021066920,25021067010,57884306101,57884306201,57884306301,63323041605,63323041710,63323041820"
"Severe Illness Medication","SIANES","MUSCLE RELAXANTS","rocuronium bromide","M03AC09",68139,"RxNorm:68139,198383,207901,375623,584528,584530,828589,828591,830752,1234995,1242617","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\RPreparations\68139\","NDC:00052045005,00052045010,00052045015,00052045016,00052045085,00052045086,00143925001,00143925010,00143925101,00143925110,00409955805,00409955810,00409955849,00409955850,00703239401,00703239403,00703239501,00703239503,00781322070,00781322075,00781322092,00781322095,10139023505,10139023510,10139023511,10139023515,24200075549,25021066205,25021066210,39822420001,39822420002,39822420005,39822420006,47781061617,47781061620,47781061722,47781061791,52533006415,54569422000,54643141501,54643141502,54643141503,54643141504,55150022505,55150022610,59651011501,59651011510,59651011601,59651011610,60889045000,60889045001,60889045002,61553032133,61553032170,61553032872,61786022257,63323042605,63323042610,65293042605,65293042610,65293042710,66647601025,66647601042,66914102901,66914102902,67457022800,67457022805,67457022810,67457022899,67457057300,67457057305,67457057400,67457057410,68083011501,68083011502,68083036401,68083036410,68083036501,68083036510,70860065105,70860065110,71872703601"
"Severe Illness Medication","SIANES","MUSCLE RELAXANTS","vecuronium","M03AC03",71535,"RxNorm:71535,240606,376856,404136,859437","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\VPreparations\71535\","NDC:00052044115,00052044117,00052044160,00069009401,00069009402,00069010804,00069010805,00074163201,00074163249,00074163401,00074163449,00209914022,00209914092,00209914126,00209914196,00209914322,00209914392,00364306133,00364306154,00402105310,00409163201,00409163249,00409163401,00409163449,00591306179,00703048101,00703048202,00703291401,00703291403,00703292501,00703292503,10019048101,10019048110,10019048202,10130003710,10130003910,23360016008,23360016010,24200076050,25021065710,25021065820,41616093140,41616093144,41616093240,41616093244,47335093140,47335093144,47335093240,47335093244,55154036505,55154045705,55154236305,55154527505,55390003710,55390003910,55390018110,55390018210,59911538902,59911583802,59911583902,61553030265,61553030272,61786035601,63323041410,63323078110,63323078220,66647601242,67457043800,67457043810,67457047500,67457047520,67457057100,67457057110,67457057200,67457057220,68083013901,68083013910,68083014001,68083014010"
"Severe Illness Medication","SIANES","Other hypnotics and sedatives","Dexmetotomidine","N05CM18",48937,"RxNorm:48937,259859,284397,309710,377219,897073,897077,1249681,1373737,1535224,1535226,1535228,1535230,1718899,1718900,1718902,1718906,1718907,1718909,1718910,1732667,1732668,1732674,1788947","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\DPreparations\48937\","NDC:00074163802,00143953201,00143953225,00338955524,00338955712,00409163802,00409166010,00409166020,00409166050,00781329772,00781329795,00781335372,00781335396,16729023930,16729023993,16729043230,16729043293,17033000510,17478005502,24200760104,26637034105,42023014625,44567060004,44567060104,44567060224,44567060324,45963090641,45963090642,52483280501,54771105001,54771280501,54771280601,55150020902,57664059640,57664059650,57884309101,57884309102,57884309103,63323042102,63323042116,67457025100,67457025102,67457058000,67457058002,67457058100,67457058102,68382012401,68382012425,70771131901,70771131907,70860060502,70860060503,70860060541,71872712201"
"Severe Illness Medication","SICARDIAC","Adrenergic and dopaminergic agents","DOBUTamine","C01CA07",3616,"RxNorm:3616,204395,309985,309986,309987,1812167,1812168,1812170","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\DPreparations\3616\","NDC:00002717501,00002717510,00002737501,00002737510,00002749601,00002750001,00024059301,00024059401,00074202520,00074202554,00074234401,00074234402,00074234632,00074234634,00074234732,00074344010,00074344020,00074372402,00074372432,00074472901,00186193101,00186193103,00264982359,00338107102,00338107302,00338107303,00338107402,00338107502,00338107702,00364303155,00409202520,00409202554,00409202560,00409202564,00409234401,00409234402,00409234462,00409234468,00409234488,00409234632,00409234634,00409234732,00409234733,00409372432,00409472901,00517207510,00641235945,00702737501,00702737510,00703181503,10019018120,10019018420,10119018120,10130056020,10130056090,52584004820,52584005190,54868571700,54868571701,54868571702,54868577700,55154035105,55390056020,55390056090"
"Severe Illness Medication","SICARDIAC","Adrenergic and dopaminergic agents","Dopamine","C01CA04",3628,"RxNorm:3628,238217,238218,238219,310011,310012,310013,727842,727843,727844,1114874,1114880,1114888,1292716,1292731,1292740,1292751,1292887,1743862,1743869,1743871,1743877,1743879,1743938,1743941,1743950,1743953","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\DPreparations\3628\","NDC:00047421008,00047421045,00047422008,00071421008,00071421045,00071422008,00074414102,00074414103,00074414202,00074414203,00074415502,00074426501,00074426601,00074426618,00074580901,00074581901,00074581916,00074582001,00074582010,00074582011,00074780802,00074780803,00074780822,00074780824,00074780902,00074780903,00074780922,00074780924,00074781002,00074781022,00074910401,00074910413,00074910420,00074910501,00074910518,00074910601,00094004005,00094004006,00094004007,00094004605,00094004606,00094004607,00094004705,00094004706,00094004707,00143925201,00143925225,00143925301,00143925325,00143925401,00143925425,00143925501,00143925525,00186063801,00186063901,00186064101,00186064201,00186064301,00186101013,00186101112,00186101213,00186101312,00186101413,00186105003,00186105103,00186105203,00186105503,00186105602,00223748405,00223748505,00223748605,00223748705,00246514410,00247115605,00247119305,00264144155,00264144255,00264148155,00264148255,00264149255,00264514410,00264514420,00264514810,00264514820,00264514920,00338100502,00338100503,00338100702,00338100703,00338100902,00409414102,00409414103,00409414202,00409414203,00409426501,00409582001,00409582011,00409780822,00409780824,00409780911,00409780922,00409780924,00409780931,00409781011,00409781022,00409910413,00409910420,00409910421,00469133020,00469134020,00469135020,00469909287,00469909387,00517130525,00517180525,00517190525,00548613500,00548613600,00548613700,00590004005,00590004006,00590004007,00590004606,00590004607,00590004706,00590004707,00641011225,00641011425,00641141335,00641141635,00686130525,00686140525,00686160304,00686161304,00686180525,00703160304,00703161304,10797013004,10797018004,10797019004,24200084666,24200084910,39769000905,39769001005,51662122001,51662131601,52584000825,52584010420,52584080525,52584082001,54569422300,54868001500,55154473508,55154570805,55154570807,55154570808,55154571205,61703020705,61703020909,61786016626"
"Severe Illness Medication","SICARDIAC","Adrenergic and dopaminergic agents","EPINEPHrine","C01CA24",3992,"RxNorm:3992,106779,106780,141848,198620,198621,204843,212343,244284,245317,247596,310116,310117,310127,310132,313967,372029,372030,372031,377281,727310,727316,727345,727347,727373,727386,727410,746206,746207,880658,883806,891437,891438,1305268,1305269,1490057,1546216,1546217,1658178,1660013,1660014,1660016,1661387,1721536,1870205,1870207,1870225,1870230,1870232,1989112,1989117,1991328,1991329","\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\EPreparations\3992\","NDC:00023022015,00024583100,00024583102,00024583300,00024583302,00058077512,00065024910,00065026407,00071401113,00071418803,00074309605,00074432001,00074481005,00074490101,00074490118,00074492101,00074492118,00074492123,00074492133,00074492134,00074724101,00074724161,00077032275,00115169430,00115169449,00115169530,00115169549,00118998401,00118998406,00143998403,00143998490,00182615264,00182615364,00186065301,00223752001,00223752005,00247013430,00247025901,00247025905,00247025910,00247043501,00247043510,00247045015,00247078101,00247091510,00247096310,00247184430,00268030101,00268030102,00268030201,00268030401,00363503610,00363504610,00409490101,00409490110,00409490118,00409492120,00409492134,00409724101,00409724110,00409724120,00409724125,00409724160,00409724161,00469942377,00469942387,00472097015,00472097099,00498009617,00498009622,00517106125,00517106171,00517107125,00517113001,00517113005,00527017256,00527017258,00548101400,00548101600,00548104600,00548107100,00548201600,00548301600,00548331600,00548906100,00641142035,00641142036,00686106125,00686107125,00814295546,00839702461,00904777035,00998024910,10797010704,10797011301,10797011312,11098006501,11695714005,11704023301,11704023302,11704023312,11704023401,11704023402,11704023412,11704030112,11704030212,11704050001,11704050002,11704050101,11704050102,11917005456,11917005457,11980012215,11980022015,13436070001,13436070002,13436070101,13436070102,13985049334,13985053250,14043023150,15343010420,15343010540,15343012522,17022144207,17270503000,17270504000,21695094701,23490549702,24357081120,24357091101,24357091120,27705070000,27705070001,27705070002,27705070101,27705070102,36000002305,37205010605,37205010705,38739003001,38739020001,38739020002,38739020006,38739020012,42023010101,42023010110,42023010210,42023010301,42023012225,42023015925,42023016801,42023016810,43835000101,44827030102,49326033101,49348002529,49348075129,49349074701,49349074714,49502010101,49502010102,49502010201,49502010202,49502050001,49502050002,49502050101,49502050102,49999071802,49999071803,50090041800,50090041801,50090124300,50090136000,50090205800,50090273300,50090273400,50090315500,50629091919,50989010211,51662122101,51662122201,51662122301,51662122401,51662122501,51662129001,51662130701,52054080302,52054080402,52125078501,52238063015,52504080402,52584000118,52584000418,52584000434,52584001905,52584010301,52584015925,52584024101,52584024110,54288010301,54288010310,54505010101,54505010102,54505010201,54505010202,54569139100,54569139200,54569142200,54569154700,54569157800,54569167300,54569167301,54569307500,54569307501,54569472600,54569625700,54569625800,54569642500,54868136300,54868206500,54868206501,54868240002,54868280400,54868280401,54868301500,54868364100,54868481900,54868481901,54868572500,54868623900,54868623901,55045320701,55045320702,55045359801,55045369603,55045378001,55045990303,55154238105,55154238108,55154318608,55154319508,55154572305,55154572308,57866304503,58005000402,58016317701,58196006531,59630080101,59630080102,59630080201,59630080202,59630080301,59630080302,59630080401,59630080402,59762017101,59762017102,59762017201,59762017202,60793040111,60842002101,60842002201,60842002301,61553036965,61570030031,61570040111,61570041880,61570041881,61786024201,62174053707,62250010301,62250010310,62778002507,62778002621,62778002622,63286004104,63739045605,63739045621,63739046705,63739046721,64029300301,64029401101,64029418801,64029418802,64725050001,64725050101,65044998101,65044998102,65044998406,66758001001,66860002001,66860002102,66860002103,68030907901,68055077510,68258304101,68788637602,68950002601,70385200802,70385200901,70385201701,70518041300,70518045400,70518052800,70518095100,70518121500,70518122400,70518134200,71872700701,71872704001,71872710301,71872711701,71872712001,71872713401,71872713501,76329331601,76329906100,87900050935,87900051035,87900093260,87900103260"
