complication_class;ICD10;title
Acute kidney failure;N17;Acute kidney failure
Arterial embolism and thrombosis;I74;Arterial embolism and thrombosis
Cardiac arrest;I46;Cardiac arrest
Cardiac complication ;I21;ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
Cardiac complication ;I22;Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
Cardiac complication ;I24;Other acute ischemic heart diseases
Cardiac complication ;I27;Other pulmonary heart diseases
Cardiac complication ;I30;Acute pericarditis
Cardiac complication ;I31;Other diseases of pericardium
Cardiac complication ;I32;Pericarditis in diseases classified elsewhere
Cardiac complication ;I33;Acute and subacute endocarditis
Cardiac complication ;I40;Acute myocarditis
Cardiac complication ;I42;Cardiomyopathy
Cardiac complication ;I50;Heart failure
Cardiac complication ;I51;Complications and ill-defined descriptions of heart disease
Cardiac: Rhythm/conduction disorder;I44;Atrioventricular and left bundle-branch block
Cardiac: Rhythm/conduction disorder;I45;Other conduction disorders
Cardiac: Rhythm/conduction disorder;I46;Cardiac arrest
Cardiac: Rhythm/conduction disorder;I47;Paroxysmal tachycardia
Cardiac: Rhythm/conduction disorder;I48;Atrial fibrillation and flutter
Cardiac: Rhythm/conduction disorder;I49;Other cardiac arrhythmias
Digestive complications;K21;Gastro-esophageal reflux disease
Digestive complications;K22;Other diseases of esophagus
Digestive complications;K25;Gastric ulcer
Digestive complications;K26;Duodenal ulcer
Digestive complications;K27;Peptic ulcer, site unspecified
Digestive complications;K28;Gastrojejunal ulcer
Digestive complications;K29;Gastritis and duodenitis
Digestive complications;K30;Functional dyspepsia
Digestive complications;K31;Other diseases of stomach and duodenum
Digestive complications;K56;Paralytic ileus and intestinal obstruction without hernia
Digestive complications;R10;Abdominal and pelvic pain
Digestive complications;R11;Nausea and vomiting
Digestive complications;R13;Aphagia and dysphagia
Digestive complications;R16;Hepatomegaly and splenomegaly, not elsewhere classified
Disorders of fluid, electrolyte and acid-base balance;E87;Other disorders of fluid, electrolyte and acid-base balance
Haematological disorders;D59;Acquired hemolytic anemia
Haematological disorders;D62;Acute posthemorrhagic anemia
Haematological disorders;D65;Disseminated intravascular coagulation [defibrination syndrome]
Haematological disorders;D68;Other coagulation defects
Haematological disorders;D69;Purpura and other hemorrhagic conditions
Haematological disorders;D70;Neutropenia
Haematological disorders;D72;Other disorders of white blood cells
Hemodynamic disorders;E86;Volume depletion
Hemodynamic disorders;I95;Hypotension
Hemodynamic disorders;R03;Abnormal blood-pressure reading, without diagnosis
Inf: Aspergillosis;B44;Aspergillosis
Inf: Bacterial infection;A41;Other sepsis
Inf: Bacterial infection;A46;Erysipelas
Inf: Bacterial infection;A49;Bacterial infection of unspecified site
Inf: Bacterial infection;B95;Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere
Inf: Bacterial infection;B96;Other bacterial agents as the cause of diseases classified elsewhere
Inf: Bacterial intestinal infections;A04;Other bacterial intestinal infections
Inf: Bacterial intestinal infections;A09;Infectious gastroenteritis and colitis, unspecified
Inf: Candidiasis;B37;Candidiasis
Inf: Others fungal infection ;B36;Other superficial mycoses
Inf: Others fungal infection ;B49;Unspecified mycosis
Inf: Pneumonia due to Streptococcus pneumoniae;J13;Pneumonia due to Streptococcus pneumoniae
Inf: Respiratory bacterial superinfection;J14;Pneumonia due to Hemophilus influenzae
Inf: Respiratory bacterial superinfection;J15;Bacterial pneumonia, not elsewhere classified
Inf: Respiratory bacterial superinfection;J18;Pneumonia, unspecified organism
Inf: Streptococcal sepsis;A40;Streptococcal sepsis
Inf: Viral reactivation ;B02;Zoster [herpes zoster]
Inf: Viral reactivation ;B00;Herpesviral [herpes simplex] infections
Pulmonary embolism;I26;Pulmonary embolism
Respiratory complication ( excluding ARDS) ;J20;Acute bronchitis
Respiratory complication ( excluding ARDS) ;J69;Pneumonitis due to solids and liquids
Respiratory complication ( excluding ARDS) ;J81;Pulmonary edema
Respiratory complication ( excluding ARDS) ;J84;Other interstitial pulmonary diseases
Respiratory complication ( excluding ARDS) ;J85;Abscess of lung and mediastinum
Respiratory complication ( excluding ARDS) ;J90;Pleural effusion, not elsewhere classified
Respiratory complication ( excluding ARDS) ;J91;Pleural effusion in conditions classified elsewhere
Respiratory complication ( excluding ARDS) ;J95;Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified
Respiratory complication ( excluding ARDS) ;J96;Respiratory failure, not elsewhere classified
Respiratory complication ( excluding ARDS) ;J98;Other respiratory disorders
Pressure ulcer;L89;Pressure ulcer
Stroke;I62;Other and unspecified nontraumatic intracranial hemorrhage
Stroke;I63;Cerebral infarction
Stroke;I65;Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
Stroke;I66;Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
Stroke;I67;Other cerebrovascular diseases
Vascu : Phlebitis and thrombophlebitis;I80;Phlebitis and thrombophlebitis
Vascu : Phlebitis and thrombophlebitis;I81;Portal vein thrombosis
Vascu : Phlebitis and thrombophlebitis;I82;Other venous embolism and thrombosis
