"code","title"
"0BH17EZ","Insertion of Endotracheal Airway into Trachea, Via Opening"
"5A09357","Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure"
"5A09358","Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Positive Airway Pressure"
"5A09359","Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Negative Airway Pressure"
"5A0935A","Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, High Nasal Flow/Velocity"
"5A0935B","Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Negative Airway Pressure"
"5A0935Z","Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours"
"5A09457","Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure"
"5A09458","Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Positive Airway Pressure"
"5A09459","Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Negative Airway Pressure"
"5A0945A","Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, High Nasal Flow/Velocity"
"5A0945B","Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Negative Airway Pressure"
"5A0945Z","Assistance with Respiratory Ventilation, 24-96 Consecutive Hours"
"5A09557","Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Positive Airway Pressure"
"5A09558","Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Positive Airway Pressure"
"5A09559","Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Negative Airway Pressure"
"5A0955A","Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, High Nasal Flow/Velocity"
"5A0955B","Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Negative Airway Pressure"
"5A0955Z","Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours"
